line_name,center_nm,amplitude,sigma_nm,offset,fwhm_nm,area,velocity_shift_kms,photon_energy_eV,doppler_temperature_K
H-gamma,434.1140799722718,0.7471925530949249,0.2864341471153237,-0.049376177206725366,0.6745008712085082,0.5364722472165862,44.259169210749526,2.8560280385542782,4742863.214872057
H-beta,486.0728742071913,1.038248877349792,0.3365658340225515,0.024919024681396708,0.7925519724288638,0.8759139266376831,-35.22901660319642,2.5507327195623617,5223192.6544165155
He I,587.598366835616,0.602699082123284,0.30043750928776136,-0.034556106030408214,0.7074762691499925,0.4538837320048796,19.576022797728392,2.110016048902422,2848038.837521148
H-alpha,656.3112362611876,1.4754936552614364,0.38694485106873777,-0.01129213607439673,0.9111854916181791,1.4311209935269464,14.268902785635227,1.8891067466633948,3786842.3597588353
